Rank,Movie Title,Opening,Total_Gross,Weekend_vs_Total,Theaters,Distributor,Average,Year
1,Avengers: Endgame,357115007,858373000,41.6,4662,Walt Disney Studios Motion Pictures,76601,2019
2,Spider-Man: No Way Home,260138569,804793477,32.3,4336,Sony Pictures Releasing,59995,2021
3,Avengers: Infinity War,257698183,678815482,38,4474,Walt Disney Studios Motion Pictures,57599,2018
4,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,Walt Disney Studios Motion Pictures,59982,2015
5,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,Walt Disney Studios Motion Pictures,51987,2017
6,Deadpool & Wolverine,211435291,636745858,33.2,4210,Walt Disney Studios Motion Pictures,50222,2024
7,Jurassic World,208806270,652270625,32,4274,Universal Pictures,48855,2015
8,The Avengers,207438708,623357910,33.3,4349,Walt Disney Studios Motion Pictures,47698,2012
9,Black Panther,202003951,700059566,28.9,4020,Walt Disney Studios Motion Pictures,50249,2018
10,The Lion King,191770759,543638043,35.3,4725,Walt Disney Studios Motion Pictures,40586,2019
11,Avengers: Age of Ultron,191271109,459005868,41.7,4276,Walt Disney Studios Motion Pictures,44731,2015
12,Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,Walt Disney Studios Motion Pictures,41336,2022
13,Incredibles 2,182687905,608581744,30,4410,Walt Disney Studios Motion Pictures,41425,2018
14,Black Panther: Wakanda Forever,181339761,453829060,40,4396,Walt Disney Studios Motion Pictures,41251,2022
15,Captain America: Civil War,179139142,408084349,43.9,4226,Walt Disney Studios Motion Pictures,42389,2016
16,Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,Walt Disney Studios Motion Pictures,40259,2019
17,Beauty and the Beast,174750616,504014165,34.7,4210,Walt Disney Studios Motion Pictures,41508,2017
18,Iron Man 3,174144585,409013994,42.6,4253,Walt Disney Studios Motion Pictures,40946,2013
19,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,Warner Bros.,38671,2011
20,Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,Warner Bros.,39134,2016
21,A Minecraft Movie,162753003,423949195,38.4,4263,Warner Bros.,38178,2025
22,Barbie,162022044,636238421,25.5,4243,Warner Bros.,38185,2023
23,The Dark Knight Rises,160887295,448139099,35.9,4404,Warner Bros.,36532,2012
24,The Dark Knight,158411483,533345358,29.7,4366,Warner Bros.,36282,2008
25,The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,Lionsgate,37971,2013
26,Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,Walt Disney Studios Motion Pictures,37306,2016
27,Inside Out 2,154201673,652980194,23.6,4440,Walt Disney Studios Motion Pictures,34730,2024
28,Captain Marvel,153433423,426829839,36,4310,Walt Disney Studios Motion Pictures,35599,2019
29,The Hunger Games,152535747,408010692,37.4,4137,Lionsgate,36871,2012
30,Spider-Man 3,151116516,336530303,44.9,4252,Sony Pictures Releasing,35540,2007
31,Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,Universal Pictures,33078,2018
32,Furious 7,147187040,353007020,41.7,4004,Universal Pictures,36760,2015
33,Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,Walt Disney Studios Motion Pictures,33703,2017
34,The Super Mario Bros. Movie,146361865,574934330,25.5,4343,Universal Pictures,33700,2023
35,Lilo & Stitch,146016175,423778855,34.5,4410,Walt Disney Studios Motion Pictures,33110,2025
36,Jurassic World: Dominion,145075625,376851080,38.5,4676,Universal Pictures,31025,2022
37,Thor: Love and Thunder,144165107,343256830,42,4375,Walt Disney Studios Motion Pictures,32952,2022
38,The Twilight Saga: New Moon,142839137,296623634,48.2,4024,Summit Entertainment,35496,2009
39,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,Lionsgate,34660,2012
40,Moana 2,139787385,460405297,30.4,4200,Walt Disney Studios Motion Pictures,33282,2024
41,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1,4061,Summit Entertainment,34011,2011
42,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,32,4133,Walt Disney Studios Motion Pictures,32817,2006
43,Finding Dory,135060273,486295561,27.8,4305,Walt Disney Studios Motion Pictures,31372,2016
44,Avatar: The Way of Water,134100226,684075767,19.6,4202,20th Century Studios,31913,2022
45,The Batman,134008624,369345583,36.3,4417,Warner Bros.,30339,2022
46,Suicide Squad,133682248,325100054,41.1,4255,Warner Bros.,31417,2016
47,Deadpool,132434639,363070709,36.5,3558,Twentieth Century Fox,37221,2016
48,Frozen II,130263358,477373578,27.3,4440,Walt Disney Studios Motion Pictures,29338,2019
49,Iron Man 2,128122480,312433331,41,4380,Paramount Pictures,29251,2010
50,Top Gun: Maverick,126707459,718732821,17.6,4735,Paramount Pictures,26759,2022
51,Deadpool 2,125507153,318491426,39.4,4349,Twentieth Century Fox,28858,2018
52,Superman,125021735,354184465,35.3,4135,Warner Bros.,30235,2025
53,Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,42.2,4125,Warner Bros.,30307,2010
54,It,123403419,327481748,37.7,4103,Warner Bros.,30076,2017
55,Thor: Ragnarok,122744989,315058289,39,4080,Walt Disney Studios Motion Pictures,30084,2017
56,The Hunger Games: Mockingjay - Part 1,121897634,337135885,36.2,4151,Lionsgate,29365,2014
57,Shrek the Third,121629270,322719944,37.7,4122,DreamWorks,29507,2007
58,Toy Story 4,120908065,434038008,27.9,4575,Walt Disney Studios Motion Pictures,26427,2019
59,Spider-Man: Across the Spider-Verse,120663589,381311319,31.6,4313,Columbia Pictures,27976,2023
60,Guardians of the Galaxy Vol. 3,118414021,358995815,33,4450,Walt Disney Studios Motion Pictures,26609,2023
61,The Fantastic Four: First Steps,117644828,274286174,42.9,4125,Walt Disney Studios Motion Pictures,28519,2025
62,Spider-Man: Homecoming,117027503,334201140,35,4348,Sony Pictures Releasing,26915,2017
63,Man of Steel,116619362,291045518,40.1,4207,Warner Bros.,27720,2013
64,Alice in Wonderland,116101023,334191110,34.7,3728,Walt Disney Studios Motion Pictures,31142,2010
65,Minions,115718405,336045770,34.4,4301,Universal Pictures,26905,2015
66,Spider-Man,114844116,403706375,28.4,3615,Sony Pictures Releasing,31768,2002
67,Pirates of the Caribbean: At World's End,114732820,309420425,37.1,4362,Walt Disney Studios Motion Pictures,26302,2007
68,Wicked,112508890,473231120,23.8,3888,Universal Pictures,28937,2024
69,Beetlejuice Beetlejuice,111003345,294100435,37.7,4575,Warner Bros.,24263,2024
70,Toy Story 3,110307189,415004880,26.6,4028,Walt Disney Studios Motion Pictures,27385,2010
71,Transformers: Revenge of the Fallen,108966307,402111870,27.1,4234,DreamWorks,25736,2009
72,Star Wars: Episode III - Revenge of the Sith,108435841,380270577,28.5,3661,Twentieth Century Fox,29619,2005
73,Shrek 2,108037878,441550292,24.5,4163,DreamWorks Distribution,25951,2004
74,Minions: The Rise of Gru,107010140,370549695,28.9,4391,Universal Pictures,24370,2022
75,Ant-Man and the Wasp: Quantumania,106109650,214504909,49.5,4345,Walt Disney Studios Motion Pictures,24421,2023
76,The Secret Life of Pets,104352905,368623860,28.3,4370,Universal Pictures,23879,2016
77,The Jungle Book,103261464,364001123,28.4,4028,Walt Disney Studios Motion Pictures,25635,2016
78,Wonder Woman,103251471,412563408,25,4165,Warner Bros.,24790,2017
79,X-Men: The Last Stand,102750665,234362462,43.8,3690,Twentieth Century Fox,27845,2006
80,Harry Potter and the Goblet of Fire,102685961,290013036,35.4,3858,Warner Bros.,26616,2005
81,The Hunger Games: Mockingjay - Part 2,102665981,281723902,36.4,4175,Lionsgate,24590,2015
82,Indiana Jones and the Kingdom of the Crystal Skull,100137835,317101119,31.6,4260,Paramount Pictures,23506,2008
83,Transformers: Age of Extinction,100038390,245439076,40.8,4233,Paramount Pictures,23632,2014
84,The Fate of the Furious,98786705,226008385,43.7,4310,Universal Pictures,22920,2017
85,Iron Man,98618668,318604126,31,4105,Paramount Pictures,24024,2008
86,Transformers: Dark of the Moon,97852865,352390543,27.8,4088,DreamWorks,23936,2011
87,Fast & Furious 6,97375245,238679850,40.8,3658,Universal Pictures,26619,2013
88,Joker,96202337,335451311,28.7,4374,Warner Bros.,21994,2019
89,The Little Mermaid,95578040,298172056,32,4320,Walt Disney Studios Motion Pictures,22124,2023
90,Captain America: The Winter Soldier,95023721,259766572,36.6,3938,Walt Disney Studios Motion Pictures,24129,2014
91,Guardians of the Galaxy,94320883,333176600,28.3,4080,Walt Disney Studios Motion Pictures,23117,2014
92,Justice League,93842239,229024295,41,4051,Warner Bros.,23165,2017
93,Harry Potter and the Prisoner of Azkaban,93687367,249541069,37.5,3855,Warner Bros.,24302,2004
94,Taylor Swift: The Eras Tour,93224755,180756269,51.6,3855,AMC Theatres,24182,2023
95,Godzilla,93188384,200676069,46.4,3952,Warner Bros.,23580,2014
96,Spider-Man: Far from Home,92579212,390532085,23.7,4634,Sony Pictures Releasing,19978,2019
97,Jurassic World: Rebirth,92016065,339640400,27.1,4308,Universal Pictures,21359,2025
98,The Matrix Reloaded,91774413,281576461,32.6,3603,Warner Bros.,25471,2003
99,The Amazing Spider-Man 2,91608337,202853933,45.2,4324,Sony Pictures Releasing,21186,2014
100,Aladdin,91500929,355559216,25.7,4476,Walt Disney Studios Motion Pictures,20442,2019
101,It: Chapter Two,91062152,211593228,43,4570,Warner Bros.,19926,2019
102,X-Men: Days of Future Past,90823660,233921534,38.8,3996,Twentieth Century Fox,22728,2014
103,Inside Out,90440272,356461711,25.4,3946,Walt Disney Studios Motion Pictures,22919,2015
104,Harry Potter and the Sorcerer's Stone,90294621,317575550,28.4,3672,Warner Bros.,24590,2001
105,Pirates of the Caribbean: On Stranger Tides,90151958,241071802,37.4,4155,Walt Disney Studios Motion Pictures,21697,2011
106,Venom: Let There Be Carnage,90033210,213550366,42.2,4225,Sony Pictures Releasing,21309,2021
107,Captain America: Brave New World,88842603,200500001,44.3,4105,Walt Disney Studios Motion Pictures,21642,2025
108,Logan,88411916,226277068,39.1,4071,Twentieth Century Fox,21717,2017
109,Skyfall,88364714,304360277,29,3505,Sony Pictures Releasing,25211,2012
110,Harry Potter and the Chamber of Secrets,88357488,261988482,33.7,3682,Warner Bros.,23997,2002
111,Spider-Man 2,88156227,373585825,23.6,4152,Sony Pictures Releasing,21232,2004
112,Fast Five,86198765,209837675,41.1,3644,Universal Pictures,23654,2011
113,The Hangover Part II,85946294,254464305,33.8,3615,Warner Bros.,23774,2011
114,Thor: The Dark World,85737841,206362140,41.6,3841,Walt Disney Studios Motion Pictures,22321,2013
115,X2: X-Men United,85558731,214949694,39.8,3741,Twentieth Century Fox,22870,2003
116,Fifty Shades of Grey,85171450,166167230,51.3,3646,Universal Pictures,23360,2015
117,Doctor Strange,85058311,232641920,36.6,3882,Walt Disney Studios Motion Pictures,21910,2016
118,X-Men Origins: Wolverine,85058003,179883157,47.3,4099,Twentieth Century Fox,20750,2009
119,How to Train Your Dragon,84633315,262958100,32.2,4356,Universal Pictures International (UPI),19429,2025
120,The Hobbit: An Unexpected Journey,84617303,303003568,27.9,4045,Warner Bros.,20918,2012
121,Solo: A Star Wars Story,84420489,213767512,39.5,4381,Walt Disney Studios Motion Pictures,19269,2018
122,The Conjuring: Last Rites,84006121,175912357,47.8,3802,Warner Bros.,22095,2025
123,The Passion of the Christ,83848082,370274604,22.6,3043,Newmarket Films,27554,2004
124,Despicable Me 2,83517315,368065385,22.7,3997,Universal Pictures,20895,2013
125,Dune: Part Two,82505391,282144358,29.2,4071,Warner Bros.,20266,2024
126,Oppenheimer,82455420,330078895,25,3610,Universal Pictures,22840,2023
127,Monsters University,82429469,268492764,30.7,4004,Walt Disney Studios Motion Pictures,20586,2013
128,Twisters,81251415,267762265,30.3,4151,Universal Pictures,19573,2024
129,Black Widow,80366312,183651655,43.8,4160,Walt Disney Studios Motion Pictures,19318,2021
130,Venom,80255756,213515506,37.6,4250,Sony Pictures Releasing,18883,2018
131,Star Wars: Episode II - Attack of the Clones,80027814,302191252,26.5,3161,Twentieth Century Fox,25317,2002
132,Godzilla x Kong: The New Empire,80006561,196350016,40.8,3861,Warner Bros.,20721,2024
133,Five Nights at Freddy's,80001720,137275620,58.3,3675,Universal Pictures,21769,2023
134,Oz the Great and Powerful,79110453,234911825,33.7,3912,Walt Disney Studios Motion Pictures,20222,2013
135,Harry Potter and the Half-Blood Prince,77835727,301959197,25.8,4325,Warner Bros.,17996,2009
136,I Am Legend,77211321,256393010,30.1,3606,Warner Bros.,21411,2007
137,Harry Potter and the Order of the Phoenix,77108414,292004738,26.4,4285,Warner Bros.,17994,2007
138,The Da Vinci Code,77073388,217536138,35.4,3735,Sony Pictures Releasing,20635,2006
139,Avatar,77025481,749766139,10.3,3452,Twentieth Century Fox,22313,2009
140,Halloween,76221545,159342015,47.8,3928,Universal Pictures,19404,2018
